Genus,Species,Specimen_ID,Side,Sex,Age,Size,Group,B_nf,B_atc,B_mTaCa,H_mTaCa,B_lTaCa,L_lTaCa,L_tn
Boodie,G101,BC004,R,538,4,,BC004,2.6,4.5,4.3,2.4,2.7,2.7,2.4
Boodie,F101,BC042,R,415,6,,BC042,2.7,5,3.9,2.7,2.7,2.6,2.3
Boodie,F101,BC044,R,409,5,,BC044,2.1,4.7,4.3,2.6,2.6,2.6,2
Boodie,F101,BC048,L,408,5,,BC048,4.8,10,6.1,4.2,5.8,3.9,2.8
Boodie,E101,BC062,R,606,4,,BC062,2.8,7.4,5.1,3.7,4.1,3.3,2.8
Boodie,G100,BC142,R,509,3,,BC142,3.2,4.9,4.4,3.2,2.6,2.6,1.8
Boodie,A103,BC170,L,255,5,,BC170,3,4.7,4.5,2.8,2.5,3.3,2
Boodie,A103,BC211,L,249,5,,BC211,2.5,5.3,3.5,2.4,3.3,2.8,1.7
Boodie,A103,BC212,L,249,5,,BC212,3,5.9,4.3,3.1,3.7,2.8,2.3
Boodie,A102,BC224,R,227,6,,BC224,2.3,4.6,3.6,2.1,4,2.3,2.1
Boodie,A102,BC293,L,264,7,,BC293,2.7,4.8,4.5,2.3,3.3,2.6,1.8
Boodie,A102,BC294,L,264,7,,BC294,2.4,5,4.5,2.6,3.1,2.9,2
Boodie,A106,BC337,L,29,7,,BC337,3.3,7.3,5.1,3.7,5.1,4.1,3.2
