Genus,Species,Specimen_ID,Side,Sex,Maxilla.Dental.Progression,Age,Group,H_nf,B_nf,L_mtc,L_ltc,B_atc,B_ptc,B_t,B_mTaCa,H_mTaCa,B_lTaCa,L_lTaCa,L_tn
Bettongia,lesueur,SAM-M6045,R,NA,4 molar/4 molar,Adult,Burrowing bettong,3.83,3.1,5.89,5.46,4.89,4.96,10.29,4.94,2.77,2.64,2.68,1.8
Bettongia,lesueur,WAM-M19232,L,NA,"Unknown, no cranium",NA,Burrowing bettong,3.62,3.43,5.04,5.22,4.93,5.05,9.59,4.05,2.77,2.96,2.99,1.72
Bettongia,lesueur,AM-M47391,L,NA,"P3, M1-M4",Adult,Burrowing bettong,4.32,3.14,5.27,5.7,5.52,5.26,10.3,4.72,3.2,3.31,3.43,1.95
Bettongia,lesueur,AM-M45759,R,Male,"P3, M1-M4",Adult,Burrowing bettong,4.23,3.43,5.71,6.29,5.52,5.53,10.7,5.48,3.06,3.86,3.28,2.71
Bettongia,lesueur,ANWC-M01424,L,NA,"P3, M1-M4",Adult,Burrowing bettong,4.23,3.35,6.05,6,5.45,5.45,10.77,4.81,3.21,3.76,3.52,2.68
Bettongia,lesueur lesueur,WAM-M15488,L,NA,"1 large P3, 3 molars, 1 small M4",Adult,Burrowing bettong,3.62,3.02,4.6,4.79,4.6,4.57,9.23,3.84,2.85,2.91,2.79,2.07
Bettongia,lesueur lesueur,WAM-M19074,L,NA,"P3, 3 large molars, 1 small M4",Adult,Burrowing bettong,4.1,3.35,4.91,5.83,4.52,4.18,9.43,4.39,2.81,3.11,2.65,1.91
Bettongia,lesueur lesueur,WAM-M3644,R,Male,"1 large P3, 3 molars, 1 small M4",Adult,Burrowing bettong,3.99,3.34,5.44,5.72,5.02,4.79,10.18,4.03,3.02,2.71,2.8,2.55
Bettongia,lesueur lesueur,WAM-M3861,R,NA,"P3, M1, M2, M3 erupting",Subadult,Burrowing bettong,4.18,3.21,5.45,5.75,5.21,5.23,10.09,4.64,3.08,3.28,3.26,2.49
Bettongia,lesueur lesueur,WAM-M4392,L,NA,"1 large P3, 3 molars, 1 small M4",Adult,Burrowing bettong,4.55,3.4,5.98,6.24,5.31,5.13,10.59,4.99,2.91,3.74,2.83,2.5
Bettongia,penicillata,SAM-M1718,L,Male,4 molar/4 molar,Adult,Brush-tailed bettong,4.36,3.37,6.24,6.35,5.46,5.78,10.42,5.35,2.75,3.52,3.17,1.53
Bettongia,penicillata,SAM-M21359,L,Female,4 molar/4 molar,Adult,Brush-tailed bettong,4.13,3.05,6.15,6.13,5.65,5.89,10.32,4.67,3.07,3.05,3.61,2.31
Bettongia,penicillata nov,SAM-M13006,R,NA,4 molar/4 molar,Adult,Brush-tailed bettong,4.02,3.28,5.51,5.64,4.83,5.2,10.1,5.02,2.98,3.2,3.18,1.78
Bettongia,penicillata nov,SAM-M18986,L,Female,4 molar/4 molar,Adult,Brush-tailed bettong,3.99,2.97,6.29,5.67,5.32,5.46,9.77,4.2,2.94,3.65,3.32,1.85
Bettongia,penicillata nov,SAM-M22661,R,Female,4 molar/4 molar,Adult,Brush-tailed bettong,4.11,3.04,5.92,5.72,4.95,5.43,9.72,5.25,3.11,3.32,3.32,1.98
Bettongia,penicillata ogilbyi,SAM-M27624,L,Male,4 molar/4 molar,Adult,Brush-tailed bettong,4.16,3.47,5.93,6,5.35,5.1,10.62,5.08,2.99,3.31,3.24,2.32
Bettongia,penicillata ogilbyi,SAM-M27625,L,Male,4 molar/4 molar,Adult,Brush-tailed bettong,4.46,3.66,6.45,5.94,5.31,5.32,11.22,5.31,3.03,3.84,3.26,2.14
Bettongia,penicillata ogilbyi,SAM-M27626,L,Male,4 molar/4 molar,Adult,Brush-tailed bettong,4.5,3.4,6.06,5.88,5.51,5.42,10.67,5.08,2.94,3.59,3.34,2.7
Bettongia,penicillata ogilbyi,SAM-M27627,L,Female,4 molar/4 molar,Adult,Brush-tailed bettong,4.13,3.11,5.56,5.29,4.88,5.33,10.09,4.9,2.7,3.74,3.05,2.4
Bettongia,penicillata ogilbyi,SAM-M27628,L,Female,4 molar/4 molar,Adult,Brush-tailed bettong,4.25,3.34,6.1,5.87,5.5,5.39,10.5,5.43,3.13,3.29,3.08,2.28
Bettongia,penicillata ogilbyi,WAM-M19063,R,Female,"1 large P3, 3 molars, 1 small M4",Adult,Brush-tailed bettong,4.14,3.48,6.35,6.72,5.59,5.53,11.17,4.83,3.25,3.65,3.58,2.73
Bettongia,penicillata ogilbyi,WAM-M19521,R,NA,"1 large P3, 3 molars, 1 small M4",Adult,Brush-tailed bettong,4.22,3.72,6.2,7.49,5.9,6.22,11.34,5.1,3.33,3.93,3.02,2.59
