"","Variable","r.large","F.large","df1.large","df2.large","p.large","r.medium","F.medium","df1.medium","df2.medium","p.medium","r.small","F.small","df1.small","df2.small","p.small"
"1","H_nf",0.997634607423698,1266.28841438652,64,128,4.31228006406357e-155,0.995717036805369,698.449633506248,57,114,1.13960359703536e-123,0.966633681717905,87.9110286797761,57,114,4.42081136937987e-73
"2","B_nf",0.990767211395499,322.928916767078,64,128,2.66247497172415e-117,0.974599216140125,116.106591377246,57,114,9.05226921131377e-80,0.959690925245634,72.4249283388744,57,114,1.85880057123019e-68
"3","L_mtc",0.998927930249775,2796.32538822317,64,128,4.47318962912529e-177,0.987453491988416,237.110356222631,57,114,3.96381657332589e-97,0.986123385882838,214.191066110985,57,114,1.20773672493175e-94
"4","L_ltc",0.994273874749113,521.914491660035,64,128,1.50735586517265e-130,0.986346960747271,217.731295315822,57,114,4.80451603026476e-95,0.963025889948942,79.1378555388419,57,114,1.43949324411644e-70
"5","B_atc",0.995754921508304,704.700713748574,64,128,7.46344575556595e-139,0.983463948703201,179.421788439945,57,114,2.52004373915924e-90,0.946205636217716,53.7679241665833,57,114,2.01567111540128e-61
"6","B_ptc",0.991656346351399,357.554713839682,64,128,4.15608516937837e-120,0.964788248703112,83.1988296380242,57,114,9.19083575655595e-72,0.946817744142986,54.4097921695126,57,114,1.06191698823173e-61
"7","B_t",0.998608718723642,2154.28575686206,64,128,7.79965810358722e-170,0.997351797087539,1130.84370539878,57,114,1.47356259127629e-135,0.992252693061593,385.231333913932,57,114,5.03159402462559e-109
"8","B_mTaCa",0.989373632936654,280.316616969508,64,128,2.09032000076906e-113,0.956141452585224,66.4017181788668,57,114,2.13702039630611e-66,0.950130495746737,58.1570046649046,57,114,2.88936836038965e-63
"9","H_mTaCa",0.971416218729489,102.954623449173,64,128,4.59719524016682e-86,0.94766900503124,55.3274022745197,57,114,4.30076233089215e-62,0.914766537078207,33.1974435528059,57,114,2.75139000555588e-50
"10","B_lTaCa",0.989775976203878,291.426547103488,64,128,1.78222765792925e-114,0.964538210825235,82.5981003726353,57,114,1.3693502423279e-71,0.935936082581455,44.8282321919257,57,114,3.51427687083954e-57
"11","L_lTaCa",0.992564752980517,401.483568486534,64,128,2.64763661285389e-123,0.975756529175453,121.744657755955,57,114,6.48006332811979e-81,0.957523408670043,68.627136172394,57,114,3.53486529344925e-67
"12","L_tn",0.97407929221426,113.737580346877,64,128,9.29377588709349e-89,0.929035078236122,40.2744072061675,57,114,1.05167932137597e-54,0.895208342964312,26.6282332474074,57,114,2.45635039571306e-45
