Genus,Species,Specimen_ID,Side,Sex,Age,Group,L_dlCaCu,B_dlCaCu,H_dlCaCu,B_dmCaCu,H_dmCaCu,B_vmCaCu,B_CaCu,H_CaCu,L_tce,L_tcd,H_tce,B_tce,L_rps,B_ms,H_ms,B_fdl,B_ch,L_st,H_st,L_mCaTa,B_mCaTa,L_lCaTa,B_lCaTa,B_CLAJ,H_CaFi,B_CaFi
Bettongia,lesueur,AM-M45759,R,Male,Adult,Burrowing bettong,2.14,3.98,3.81,3.64,2.86,3.79,7.88,6,18.65,16.71,6.37,5.62,12.56,3.21,5.28,3.53,9.85,6.27,6.1,5.17,4.35,2.71,4.1,8.33,2.62,2.58
Bettongia,lesueur,AM-M47391,L,NA,Adult,Burrowing bettong,2.24,3.36,3.83,3.37,2.59,3.64,7.48,5.74,17.55,15.98,6.65,5.44,11.84,3.69,5.58,3.75,9.49,6.48,5.8,5.4,4.76,3.19,4.12,7.91,2.52,2.51
Bettongia,lesueur,ANWC-M01424,L,NA,Adult,Burrowing bettong,2.1,3.43,3.55,3.74,2.84,3.19,7.56,5.61,17.66,16.04,6.87,5.39,10.76,3.9,5.49,3.61,9.65,6.48,5.7,5.41,5.02,3.12,4.47,8.06,2.51,2.5
Bettongia,lesueur,SAM-M6045,R,NA,Adult,Burrowing bettong,1.85,3.28,3.87,3.31,3.26,4.03,6.74,5.51,17.05,14.85,6.46,5.84,9.92,3.1,5.95,3.29,9.44,5.63,6.4,5.26,4.87,2.62,3.89,7.98,2.19,3.01
Bettongia,lesueur,WAM-M19232,L,NA,NA,Burrowing bettong,1.76,3.28,3.17,3.11,2.63,2.61,6.43,5.14,15.07,13.08,5.69,4.73,10.08,3.22,4.89,2.9,8.28,6.33,5.05,4.56,3.81,2.5,3.64,7.37,2.23,2.08
Bettongia,lesueur lesueur,WAM-M15488,L,NA,Adult,Burrowing bettong,1.79,3.2,2.74,2.83,2.68,2.85,6.22,4.85,14.38,12.62,5.92,4.37,9.2,2.68,4.81,3.27,8.24,5.55,4.96,4.52,3.79,2.47,2.91,7.52,2.11,2.46
Bettongia,lesueur lesueur,WAM-M19074,L,NA,Adult,Burrowing bettong,1.76,3.29,3.52,2.86,2.94,3.06,6.54,5.28,15.15,13.42,5.8,5.02,10.65,3.1,5.24,2.93,8.74,6.01,5.44,4.72,4.22,2.56,3.64,7.68,2.56,2.51
Bettongia,lesueur lesueur,WAM-M3861,R,NA,Subadult,Burrowing bettong,1.97,3.51,3.4,3.5,2.83,2.7,7.31,5.28,16.22,14.72,5.88,5.14,10.19,2.78,5.06,3.11,9.1,5.59,5.71,5.44,4.7,2.76,4.34,8.33,2.06,2.13
Bettongia,pencillata ogilbyi,WAM-M63492,R,Male,Juvenile,Brush-tailed bettong,1.63,3.02,3.39,3.42,2.84,3.99,6.42,5.43,15.45,13.56,5.02,4.73,9.93,2.69,4.61,2.57,8.84,6.32,5.95,5.43,4.08,2.42,3.63,7.57,2.26,2.44
Bettongia,penicillata,SAM-M1718,L,Male,Adult,Brush-tailed bettong,2.2,3.47,4.05,3.71,3.26,4.99,7.18,6.49,18.49,16.32,6.91,5.8,11.7,2.72,6.94,3.33,9.83,6.65,6.64,5.93,4.77,3.06,3.93,8.21,3.05,3.26
Bettongia,penicillata,SAM-M21359,L,Male,Adult,Brush-tailed bettong,2.16,3.77,3.59,3.6,3.55,4.62,7.23,6.05,18.59,16.49,6.6,5.63,12.74,3.37,6.48,3.27,10.01,7.5,6.7,6.13,4.78,2.84,4.06,8.43,2.32,2.97
Bettongia,penicillata novsp.,SAM-M13006,R,NA,Adult,Brush-tailed bettong,2.1,3.17,3.2,3.4,3.18,4.98,6.91,5.8,18.56,15.78,5.94,5.51,11.73,2.51,6,3.52,9.63,6.46,6.42,5.59,4.55,3.01,4.14,7.86,2.53,3.26
Bettongia,penicillata novsp.,SAM-M18986,L,Female,Adult,Brush-tailed bettong,2.08,3.63,3.21,3.57,2.93,4.19,7.12,5.53,17.68,15.54,6.2,5.88,11.48,2.93,5.89,3.41,9.84,7.19,6.21,5.57,4.29,2.78,3.75,7.65,2.48,2.62
Bettongia,penicillata novsp.,SAM-M22661,R,Female,Adult,Brush-tailed bettong,1.72,3.22,3.91,3.46,3.77,4.21,6.79,5.4,17.7,14.95,5.98,5.6,11.41,2.82,5.74,3.28,9.48,6.15,6.57,5.59,4.22,2.82,3.89,7.6,2.61,2.69
Bettongia,penicillata ogilbyi,SAM-M27624,L,Male,Adult,Brush-tailed bettong,2.24,3.84,4.06,3.71,3.03,3.57,7.62,5.92,18.59,16.51,6.8,5.36,12.59,3.12,6.14,3.62,10.07,7.39,5.78,5.47,4.44,3.09,3.97,8.22,2.48,2.77
Bettongia,penicillata ogilbyi,SAM-M27625,L,Male,Adult,Brush-tailed bettong,2.3,3.74,4.35,4.16,2.9,4.83,8.07,5.99,19.21,17.28,6.61,5.59,11.79,3.57,5.98,3.48,10.02,5.9,6.08,5.76,5.05,2.88,3.8,8.76,2.98,3.03
Bettongia,penicillata ogilbyi,SAM-M27626,L,Male,Adult,Brush-tailed bettong,2.08,3.74,3.9,3.84,3.04,5.62,7.71,5.82,18.67,15.99,7.11,5.37,11.59,3.22,5.84,3.53,9.86,5.84,5.88,5.83,4.95,2.95,3.45,8.39,2.58,2.8
