"","Taxa","MANOVA","df1","df2","F>Fcritical at 0.01","F.Stat","p"
"1","All Large Macropods","Shape ~ Age","6","61",TRUE,"9.459","0"
"2","Agile wallaby","Shape ~ Size","6","6",TRUE,"2.327","0.164"
"3","Agile wallaby","Shape ~ Age","6","6",TRUE,"7.002","0.016"
"4","Osphranter species","Shape ~ Age","6","29",TRUE,"6.235","0"
"5","Common wallaroo","Shape ~ Subspecies","24","48",TRUE,"1.693","0.06"
"6","Common wallaroo","Shape ~ Size","6","12",TRUE,"3.988","0.02"
"7","Common wallaroo","Shape ~ Age","6","9",TRUE,"1.015","0.472"
"8","Red kangaroo","Shape ~ Size","6","7",TRUE,"2.793","0.103"
"9","Red kangaroo","Shape ~ Age","6","3",TRUE,"1.571","0.382"
"10","Western grey kangaroo","Shape ~ Size","6","4",TRUE,"6.144","0.05"
"11","Western grey kangaroo","Shape ~ Age","6","3",TRUE,"2.652","0.227"
