Genus,Species,Specimen_ID,Side,Sex,Age,Group,GL,Bp,Dp,B_ms,H_ms,Bd,Dd
Bettongia,lesueur,AM-M45759,R,Male,Adult,Burrowing bettong,44.38,7.6,6.97,4.82,4.3,7.81,5.67
Bettongia,lesueur,ANWC-M01424,L,NA,Adult,Burrowing bettong,41.93,7.92,6.69,4.44,3.95,7.83,5.46
Bettongia,lesueur,SAM-M6045,R,NA,Adult,Burrowing bettong,41.05,6.88,6.06,4.6,4.19,7.52,5.1
Bettongia,lesueur lesueur,WAM-M15488,L,NA,Adult,Burrowing bettong,33.41,6,5.17,3.67,3.5,6.29,4.37
Bettongia,lesueur lesueur,WAM-M4392,L,NA,Adult,Burrowing bettong,40.62,7.34,6.72,4.53,3.86,7.28,5.3
Bettongia,penicillata nov,SAM-M11938,L,NA,Adult,Brush-tailed bettong,40.92,6.68,6.61,4.75,4.06,7.25,5.05
Bettongia,penicillata nov,SAM-M13006,R,NA,Adult,Brush-tailed bettong,44.37,7.05,6.31,4.51,3.98,7.48,5.04
Bettongia,penicillata nov,SAM-M18986,L,Female,Adult,Brush-tailed bettong,43.12,7.2,6.53,4.28,4.38,7.64,5.13
Bettongia,penicillata nov,SAM-M22661,L,Female,Adult,Brush-tailed bettong,43.47,7.3,6.07,4.72,4.13,7.52,5.25
Bettongia,penicillata ogilbyi,SAM-M27624,L,Male,Adult,Brush-tailed bettong,44.72,7.77,6.34,4.87,4.34,7.79,5.22
Bettongia,penicillata ogilbyi,SAM-M27625,L,Male,Adult,Brush-tailed bettong,42.76,7.98,7.2,5.09,4.65,7.51,5.55
Bettongia,penicillata ogilbyi,SAM-M27626,L,Male,Adult,Brush-tailed bettong,44.28,7.92,6.58,4.94,4.2,7.41,5.43
Bettongia,penicillata ogilbyi,SAM-M27627,L,Female,Adult,Brush-tailed bettong,41.86,7.44,6.59,4.3,3.72,7.04,5.23
Bettongia,penicillata ogilbyi,SAM-M27628,L,Female,Adult,Brush-tailed bettong,42.93,7.73,6.54,4.89,4.15,7.53,5.47
Bettongia,penicillata ogilbyi,WAM-M19063,L,Female,Adult,Brush-tailed bettong,47.61,8.02,7.71,5.02,4.5,8.17,6.07
Lagorchestes,conspicillatus,MAGNT-U6152,L,Male,Adult,Spectacled hare-wallaby,78.59,10.89,10.12,7.38,5.81,11.23,8.45
Lagorchestes,conspicillatus,QM-JM15872,L,NA,NA,Spectacled hare-wallaby,76.53,10.64,10.48,7.47,5.81,10.5,8.39
Lagorchestes,conspicillatus conspicillatus,UQ275,L,NA,NA,Spectacled hare-wallaby,63.53,8.56,7.95,5.67,4.45,8.47,6.42
