"","Taxa","MANOVA","df1","df2","F>Fcritical at 0.01","F.Stat","p"
"1","All Large Macropods","Shape ~ Age","5","52",TRUE,"7.463","0"
"2","Agile wallaby","Shape ~ Size","5","3",TRUE,"7.707","0.062"
"3","Agile wallaby","Shape ~ Age","5","3",TRUE,"0.576","0.725"
"4","Agile wallaby","Shape ~ Sex","5","3",TRUE,"2.348","0.257"
"5","Osphranter species","Shape ~ Age","5","26",TRUE,"5.388","0.002"
"6","Common wallaroo","Shape ~ Subspecies","5","11",TRUE,"7.255","0.003"
"7","Common wallaroo","Shape ~ Size","5","11",TRUE,"7","0.004"
"8","Common wallaroo","Shape ~ Age","5","9",TRUE,"0.375","0.854"
"9","Red kangaroo","Shape ~ Size","5","8",TRUE,"1.86","0.207"
"10","Red kangaroo","Shape ~ Age","5","2",TRUE,"40.804","0.024"
"11","Red kangaroo","Shape ~ Sex","5","4",TRUE,"5.665","0.059"
"12","Western grey kangaroo","Shape ~ Size","5","6",TRUE,"0.992","0.493"
"13","Western grey kangaroo","Shape ~ Age","5","5",TRUE,"1.747","0.278"
"14","Western grey kangaroo","Shape ~ Sex","5","1",TRUE,"6.074","0.298"
